text_unit_ids,entity_ids,id
4cf772ca8a1ffad729902e9b630e1ec0,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '19a7f254a5d64566ab5cc15472df02de'
 'e7ffaee9d31d4d3c96e04f911d0a8f9e']",4cf772ca8a1ffad729902e9b630e1ec0
84d24b5db902baca7217b5e3bb6ec462,"['b45241d70f0e43fca764df95b2b81f77' '0211d61aae834229a3a1e004ff5cc658'
 'ccbbbcc055c34709abcf103208c2c299' '989add81cf874018a569239b68d17ff2'
 'fd7d94fbab084bc380480abeef6bfade']",84d24b5db902baca7217b5e3bb6ec462
b0505e11596cadd9890fef049c29473c,"['4119fd06010c494caa07f439b333f4c5' 'f7e11b0e297a44a896dc67928368f600'
 '859dedcc3736439a8a563419f16cb3d8' '0fc15cc3b44c4142a770feb4c037a6f7'
 'a24e9df02e1b4b43bf6324b039e28285' 'ab3a5a6713244fd595a1ace978c3d960'
 '02a88c0d128e4586b2f1f64329786d3c' '1ca41537c47c4752a17a44d1d7086d96']",b0505e11596cadd9890fef049c29473c
7c1bad237a1ef86cb41b6c5dbad4ffc3,"['3671ea0dd4e84c1a9b02c5ab2c8f4bac' '147c038aef3e4422acbbc5f7938c4ab8'
 'ecdc1020b10e49ca869d399825e16fa3' '0d8fde01d7234726a00d7e73e2e01d66'
 '9c4bd60958fd4e09a6d5b9e2ab163b5a' '39d31f770cf740e78d526a2e1101a1db'
 '9d282b2250f7408888504f1f93c202a8' 'c063484895794a0eaae1b0ff070ad4c9']",7c1bad237a1ef86cb41b6c5dbad4ffc3
f8cf53ce98a8bc52581f7907ad98ef70,"['3671ea0dd4e84c1a9b02c5ab2c8f4bac' 'c160b9cb27d6408ba6ab20214a2f3f81'
 '23527cd679ff4d5a988d52e7cd056078' '147c038aef3e4422acbbc5f7938c4ab8'
 'b7702b90c7f24190b864e8c6e64612a5']",f8cf53ce98a8bc52581f7907ad98ef70
563caa38fe33c495449888d62950b959,"['f7e11b0e297a44a896dc67928368f600' '1fd3fa8bb5a2408790042ab9573779ee'
 '27f9fbe6ad8c4a8b9acee0d3596ed57c' 'e1fd0e904a53409aada44442f23a51cb'
 'de988724cfdf45cebfba3b13c43ceede' '96aad7cb4b7d40e9b7e13b94a67af206'
 'c9632a35146940c2a86167c7726d35e9' '9646481f66ce4fd2b08c2eddda42fc82'
 'd91a266f766b4737a06b0fda588ba40b' 'bc0e3f075a4c4ebbb7c7b152b65a5625'
 '254770028d7a4fa9877da4ba0ad5ad21' '4a67211867e5464ba45126315a122a8a']",563caa38fe33c495449888d62950b959
0dc1f5e4f8fb5903f12acf8e141fb205,"['04dbbb2283b845baaeac0eaf0c34c9da' '1943f245ee4243bdbfbd2fd619ae824a'
 '273daeec8cad41e6b3e450447db58ee7' 'e69dc259edb944ea9ea41264b9fcfe59'
 'e2f5735c7d714423a2c4f61ca2644626' 'deece7e64b2a4628850d4bb6e394a9c3'
 'e657b5121ff8456b9a610cfaead8e0cb' 'bf4e255cdac94ccc83a56435a5e4b075'
 '3b040bcc19f14e04880ae52881a89c1c']",0dc1f5e4f8fb5903f12acf8e141fb205
9aff9243c57cabca574b35438bf31a50,"['bf4e255cdac94ccc83a56435a5e4b075' '482027a59f32484c9c44fd700615c1b6'
 'cec95bf17e7e4c939b56c9c6f402a29f' '599164aead034bc19446efacc77554d2'
 '3e460d9f011d4b0b9ccaae7b6a5202de' '9d98dece22eb401aa1a5ce9c88c603f0'
 '81446ea789b24eaf9eab02dc07c3d984' '79f4b1c1b2be4cf7aa828846e20a4eb6'
 'de04830d6e414fd5b39a9e90769d9452' '69db426b97714835bf4937180774787a'
 '9c7bc862339d4a5bb21ee5154d9b33bb' '17bad53a0ebe4569839e5e151ff78593'
 '53d98f08e7c74158b7318357b6c660b3' 'cd601f77419c403889aadeee591915b5'
 '0f564ebd53e940fba9d16674ac7bc038']",9aff9243c57cabca574b35438bf31a50
2b777e3d591ce1511a03abd1a6d8dc73,"['3b040bcc19f14e04880ae52881a89c1c' 'de61b2670999433f807a6a1dc2b81e43'
 '6a1d83c9ce2b483dbd7de5ab3ae2487d' '6f3dd1fd6d7f4df4af0656ed0525c92e'
 '7f85b181f1184f77aeb3ea2155cf4027' 'd148b2b2033048618f1a090a492a40a5'
 '4d839a10353e4144a26563b0966721d5' '521a862bb196488389f17c0b0f4b6f4d'
 '22ea3328fb6343f4ad2862495ea27640' '3f9a2a2c1c0a424e8b4980ea9d48bdbe'
 'aa2ec452728a4703ae1bdabe85b6c079' 'c5ddb31e0a9c4b2683e4631283dd505b'
 '07d8eeb549044ac88d2e788c146a0ef1' '47df2815030c4f1c99facd5cf2482526'
 'ae521508bdc244f99c4fce4ab5214c79' '6315b4bf135c40358823ed7e4e4060e2'
 '33905debec1a45ecae1c65daac1d854c' 'bfbe904780fe47daad1a04126b12923c'
 '0614f00e932c4cd0b53928053811ebc1' '9ef487dd0b574b108c60a56d6a2f146c']",2b777e3d591ce1511a03abd1a6d8dc73
12294feb07a1d202b27241eaaf64718b,"['3d6b216c14354332b1bf1927ba168986' 'd6d2b5862ddc4c4d87deee3423506817'
 '5a781604f1fb4719b730f43f534627f6' '2918130221f94f4387da049b647bfe6a'
 'fd139ac75b0e4777ab67b7423eaaa37f' 'a701c349eb7142d48ba7efad89caf9d2']",12294feb07a1d202b27241eaaf64718b
